data_center_location,timestamp,total_power_watts,avg_cpu_pct,avg_ram_pct,pue_proxy,pue_status
NYC-DC1,2025-01-22 08:00:00,2838.0,69.0,63.38,1.4,Acceptable
NYC-DC1,2025-03-15 08:00:00,840.0,84.5,78.5,1.4,Acceptable
CHI-DC2,2025-01-24 08:00:00,2734.0,60.25,56.75,1.4,Acceptable
DAL-DC3,2025-01-24 08:00:00,2634.0,59.75,56.0,1.7,Inefficient
DAL-DC3,2025-07-16 08:00:00,1300.0,21.25,18.75,1.7,Inefficient
CHI-DC2,2025-01-22 08:00:00,2961.0,70.13,65.5,1.4,Acceptable
CHI-DC2,2025-02-15 08:00:00,560.0,91.0,89.0,1.2,Efficient
CHI-DC2,2025-04-15 08:00:00,575.0,94.0,92.0,1.2,Efficient
NYC-DC1,2025-04-15 08:00:00,850.0,86.5,81.0,1.2,Efficient
NYC-DC1,2025-05-15 08:00:00,865.0,88.5,83.5,1.2,Efficient
NYC-DC1,2025-01-23 08:00:00,2942.0,73.38,67.13,1.4,Acceptable
NYC-DC1,2025-01-20 08:00:00,2660.0,61.38,56.75,1.4,Acceptable
CHI-DC2,2025-01-21 08:00:00,2874.0,66.75,62.38,1.4,Acceptable
NYC-DC1,2025-06-15 08:00:00,880.0,91.5,86.5,1.2,Efficient
CHI-DC2,2025-07-15 08:00:00,1725.0,97.33,94.67,1.2,Efficient
DAL-DC3,2025-01-22 08:00:00,2856.0,69.75,65.38,1.4,Acceptable
CHI-DC2,2025-03-15 08:00:00,570.0,93.0,91.0,1.2,Efficient
NYC-DC1,2025-02-15 08:00:00,820.0,82.0,76.5,1.4,Acceptable
NYC-DC1,2025-01-24 08:00:00,2608.0,58.75,55.25,1.7,Inefficient
CHI-DC2,2025-05-15 08:00:00,580.0,95.0,93.0,1.2,Efficient
DAL-DC3,2025-01-23 08:00:00,2957.0,73.75,69.25,1.4,Acceptable
CHI-DC2,2025-01-23 08:00:00,3059.0,73.88,69.13,1.4,Acceptable
CHI-DC2,2025-01-20 08:00:00,2785.0,63.25,59.13,1.4,Acceptable
DAL-DC3,2025-01-20 08:00:00,2684.0,62.5,58.38,1.4,Acceptable
DAL-DC3,2025-01-21 08:00:00,2771.0,66.13,61.75,1.4,Acceptable
NYC-DC1,2025-01-21 08:00:00,2746.0,65.25,59.5,1.4,Acceptable
CHI-DC2,2025-06-15 08:00:00,585.0,97.0,94.0,1.2,Efficient
NYC-DC1,2025-07-15 08:00:00,2615.0,95.2,91.8,1.2,Efficient
